"Colony" "Distance" "Mass" "Headwidth" "Headwidth..mm." "Size.class"
3 7 145 45 1.895 ">43"
3 7 43 32 1.347 "30-34"
3 7 70 38 1.6 "35-39"
3 7 66 36 1.516 "35-39"
3 7 99 39 1.642 "35-39"
3 7 120 45 1.895 ">43"
3 7 116 44 1.853 ">43"
3 7 105 40 1.684 "40-43"
3 7 132 45 1.895 ">43"
3 7 77 39 1.642 "35-39"
3 7 123 45 1.895 ">43"
3 7 126 46 1.937 ">43"
3 10 108 44 1.853 ">43"
3 10 92 41 1.726 "40-43"
3 10 86 39 1.642 "35-39"
3 10 95 40 1.684 "40-43"
3 10 89 41 1.726 "40-43"
3 10 119 43 1.811 "40-43"
3 10 60 36 1.516 "35-39"
3 10 100 42 1.768 "40-43"
3 10 95 40 1.684 "40-43"
3 10 55 32 1.347 "30-34"
3 10 78 40 1.684 "40-43"
3 10 75 38 1.6 "35-39"
3 10 112 44 1.853 ">43"
3 10 98 42 1.768 "40-43"
3 10 77 38 1.6 "35-39"
3 10 84 40 1.684 "40-43"
3 10 92 34 1.432 "30-34"
3 10 110 43 1.811 "40-43"
3 10 140 47 1.979 ">43"
3 10 84 39 1.642 "35-39"
3 10 61 30 1.263 "30-34"
3 10 129 45 1.895 ">43"
3 10 116 41 1.726 "40-43"
4 1 74 40 1.684 "40-43"
4 1 95 38 1.6 "35-39"
4 1 89 41 1.726 "40-43"
4 1 95 41 1.726 "40-43"
4 1 69 40 1.684 "40-43"
4 1 102 41 1.726 "40-43"
4 1 84 39 1.642 "35-39"
4 1 76 38 1.6 "35-39"
4 1 66 36 1.516 "35-39"
4 1 134 46 1.937 ">43"
4 1 102 39 1.642 "35-39"
4 1 60 38 1.6 "35-39"
4 1 127 45 1.895 ">43"
4 1 36 30 1.263 "30-34"
4 1 65 37 1.558 "35-39"
4 1 165 46 1.937 ">43"
4 1 94 41 1.726 "40-43"
4 1 43 34 1.432 "30-34"
4 1 91 43 1.811 "40-43"
4 1 107 42 1.768 "40-43"
4 1 94 40 1.684 "40-43"
4 1 71 37 1.558 "35-39"
4 1 85 43 1.811 "40-43"
4 1 60 37 1.558 "35-39"
4 1 132 40 1.684 "40-43"
4 1 127 45 1.895 ">43"
4 1 68 36 1.516 "35-39"
4 1 147 45 1.895 ">43"
4 1 76 38 1.6 "35-39"
4 1 106 43 1.811 "40-43"
4 4 106 40 1.684 "40-43"
