serialnop	age	pweight	sex	hispan	white	black	aian	asian	nhpi	other	race1	marstat	educ	speak	citizen	yr2us	abwork	disable	military	milyrs	esr	lastwrk	clwkr	worklyr	weeks	hours	inctot	persons	tenure	hht	p65	p18	npf	noc	nrc	paoc	parc	fnf	hhl	wif	empstat
1326969	21	21	2	1	0	1	0	0	0	0	2	5	12	2	1	0	2	2	4	0	2	1	1	1	52	40	12000	2	3	7	0	0	0	0	0	4	4	2	1	0	0
7267198	36	16	2	1	0	0	0	1	0	0	6	1	9	1	5	1989	2	2	4	0	6	2	0	2	0	0	0	5	3	1	0	3	5	3	3	2	2	2	4	2	2
7373465	27	18	2	1	1	0	0	0	0	0	1	5	12	2	1	0	2	2	4	0	1	1	1	1	52	50	50000	1	3	6	0	0	0	0	0	4	4	2	1	0	0
9825040	46	13	2	1	1	0	0	0	0	0	1	1	14	2	1	0	2	2	4	0	6	1	2	1	16	60	22700	6	1	1	0	4	6	4	4	2	2	2	1	3	2
7954068	37	24	1	24	0	0	0	0	0	1	8	1	1	1	5	1985	2	2	4	0	6	1	2	1	4	40	6000	3	3	3	0	1	3	1	1	2	2	2	2	3	7
4827603	39	16	1	1	1	0	0	0	0	0	1	1	10	2	1	0	2	1	2	2	1	1	1	1	34	48	60000	3	1	1	0	1	3	1	1	2	2	2	1	3	1
9339381	39	5	2	7	1	0	0	0	0	0	1	1	9	1	4	1971	2	1	4	0	2	1	1	1	44	42	19480	6	4	1	0	3	6	3	3	2	2	2	2	4	1
6041952	40	13	1	1	1	0	0	0	0	0	1	1	14	2	5	1984	2	2	4	0	1	1	1	1	52	40	55000	3	1	1	0	0	3	0	0	4	4	2	1	4	1
4501347	60	10	2	1	0	0	1	0	0	0	3	1	9	2	1	0	2	2	4	0	6	1	1	1	6	15	5100	4	1	1	0	0	4	0	0	4	4	2	1	3	2
788074	23	18	2	2	0	0	0	0	0	1	8	5	9	1	5	1978	2	2	4	0	1	1	1	1	48	20	10000	6	1	1	0	1	6	0	1	4	1	2	2	4	3
1116886	52	6	2	1	1	0	0	0	0	0	1	1	10	2	1	0	1	1	4	0	1	1	2	1	52	40	13300	2	4	1	1	0	2	0	0	4	4	1	1	3	3
