serialnop	age	pweight	sex	hispan	white	black	aian	asian	nhpi	other	race1	marstat	educ	speak	citizen	yr2us	abwork	disable	military	milyrs	esr	lastwrk	clwkr	worklyr	weeks	hours	inctot	persons	tenure	hht	p65	p18	npf	noc	nrc	paoc	parc	fnf	hhl	wif	empstat
6706831	43	18	1	2	0	0	0	0	0	1	8	1	9	1	1	0	2	2	2	2	1	1	4	1	50	50	30000	4	3	1	0	2	4	2	2	1	1	2	2	3	1
885605	62	21	1	1	1	0	0	0	0	0	1	1	6	2	1	0	2	1	2	2	6	2	0	2	0	0	18700	5	2	1	0	3	5	0	3	4	3	2	1	2	3
3772036	28	21	1	1	0	1	0	0	0	0	2	5	13	2	1	0	2	2	4	0	1	1	3	1	52	32	35000	1	3	4	0	0	0	0	0	4	4	2	1	0	0
5086799	60	29	2	2	1	0	0	0	0	0	1	1	14	1	1	0	2	2	4	0	1	1	1	1	48	5	41900	2	1	1	1	0	2	0	0	4	4	2	2	3	1
2355978	48	16	2	1	1	0	0	0	0	0	1	3	13	2	1	0	2	2	4	0	1	1	1	1	52	40	23900	2	1	5	0	0	0	0	0	4	4	2	1	0	0
8233692	50	16	1	2	1	0	0	0	0	0	1	1	3	1	4	1982	2	2	4	0	1	1	1	1	27	40	10400	7	1	1	0	2	7	1	2	2	3	2	2	3	2
7074785	38	34	1	2	1	0	0	0	0	0	1	5	3	2	5	1975	2	2	4	0	1	1	1	1	50	40	17000	3	3	1	0	0	3	0	0	4	4	2	2	3	2
7886614	21	29	1	1	1	0	0	0	0	0	1	5	9	2	1	0	2	2	4	0	1	1	1	1	45	25	12000	6	3	1	0	3	6	3	3	2	2	2	1	4	2
3984360	35	23	1	2	1	0	0	0	0	0	1	1	3	1	4	1983	1	1	4	0	1	1	1	1	50	54	15000	5	1	1	0	3	5	3	3	3	3	2	2	3	2
5618641	33	16	1	1	1	0	0	0	0	1	9	1	14	1	4	1990	2	2	4	0	1	1	1	1	36	40	24000	4	3	1	0	1	4	1	1	1	1	2	3	3	2
804507	21	8	1	2	0	0	0	0	0	1	8	1	7	1	1	0	2	2	4	0	3	2	9	2	0	0	4100	3	3	1	0	1	3	1	1	1	1	2	2	1	2
6369716	50	19	2	1	1	0	0	0	0	0	1	3	14	2	1	0	2	2	4	0	1	1	3	1	52	36	54200	3	1	3	0	1	3	1	1	2	2	2	1	3	7
7368953	55	13	2	2	0	0	0	0	0	1	8	1	1	2	5	1998	2	2	4	0	6	2	0	2	0	0	0	7	3	1	0	3	7	1	3	2	3	2	2	1	2
4552632	55	18	1	1	0	1	0	0	0	0	2	1	5	2	1	0	2	1	2	2	6	2	0	2	0	0	38500	3	2	1	1	0	3	0	0	4	4	2	1	1	4
5431984	40	19	2	1	1	0	0	0	0	0	1	1	10	2	1	0	2	2	4	0	1	1	6	1	52	40	12000	2	1	1	0	0	2	0	0	4	4	2	1	3	1
6570766	63	22	2	1	1	0	0	0	0	0	1	3	11	2	1	0	2	2	4	0	1	1	1	1	52	36	20510	2	1	3	0	0	2	0	0	4	4	2	1	3	7
566767	21	29	2	2	1	0	0	0	0	0	1	5	4	1	5	1992	2	1	4	0	6	2	0	2	0	0	0	6	3	3	0	2	3	2	2	3	3	2	2	2	7
5385582	59	18	1	1	1	0	0	0	0	0	1	5	16	2	1	0	2	2	4	0	1	1	6	1	48	35	56000	1	1	4	0	0	0	0	0	4	4	2	1	0	0
4694535	33	18	1	1	1	0	0	0	0	0	1	3	9	2	1	0	2	2	1	2	4	1	5	1	52	64	27400	2	3	5	0	0	0	0	0	4	4	2	1	0	0
7405793	32	21	1	1	1	0	0	0	0	0	1	1	6	2	1	0	2	2	4	0	1	1	1	1	48	40	23000	4	3	1	0	2	4	2	2	3	3	2	1	3	2
809706	31	13	2	1	0	1	0	0	0	0	2	5	11	2	1	0	2	2	4	0	3	1	1	1	48	40	17110	2	3	3	0	1	2	1	1	2	2	2	1	2	7
7185481	32	27	2	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	4	0	6	1	1	2	0	0	32000	4	3	1	0	2	4	2	2	1	1	2	1	2	2
3488482	37	27	1	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	4	0	1	1	1	1	52	40	29000	3	1	1	0	1	3	1	1	1	1	2	1	3	1
8116157	25	18	2	1	1	0	0	0	0	0	1	1	10	2	1	0	2	2	4	0	1	1	1	1	52	40	33000	3	1	1	0	0	3	0	0	4	4	2	1	4	1
3726278	31	15	2	1	1	0	0	0	0	0	1	1	8	2	1	0	2	2	4	0	3	1	1	1	52	40	36000	4	3	1	0	2	4	2	2	2	2	2	1	3	1
5091550	41	16	1	1	1	0	0	0	0	0	1	3	9	2	1	0	2	1	4	0	3	1	1	1	34	40	23000	2	2	2	0	0	2	0	0	4	4	2	1	2	6
4263711	40	24	1	1	1	0	0	0	0	0	1	3	11	2	1	0	2	2	4	0	1	1	1	1	52	40	80000	2	1	3	0	0	2	0	0	4	4	2	1	3	7
9002204	30	11	2	2	0	0	0	0	0	1	8	5	11	1	4	1981	2	2	4	0	1	1	1	1	52	50	30010	9	1	1	0	5	9	4	5	2	3	2	2	4	2
5422306	25	19	1	11	0	0	0	0	0	1	8	5	13	1	5	1999	2	2	4	0	1	1	1	1	48	60	1e+05	7	3	1	0	2	5	2	2	3	3	2	2	4	2
5177466	57	38	1	1	0	1	0	0	0	0	2	1	9	2	1	0	2	2	4	0	6	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4862649	35	34	1	2	1	0	0	0	0	0	1	1	9	1	1	0	2	2	2	2	1	1	1	1	52	48	25950	4	1	1	0	2	4	2	2	3	3	2	2	3	1
6453349	38	13	2	1	0	0	0	1	0	0	6	5	14	1	5	1987	2	2	4	0	1	1	1	1	52	40	5000	2	1	3	0	0	2	0	0	4	4	2	4	2	7
2812472	36	5	1	2	1	0	0	0	0	0	1	1	9	1	5	1995	2	2	3	0	1	1	6	1	51	40	18000	4	3	1	0	2	4	2	2	2	2	2	2	3	2
5108297	50	24	1	1	0	0	0	1	0	0	6	1	13	1	5	1976	2	2	4	0	1	1	1	1	52	40	45000	4	1	1	0	1	4	1	1	2	2	2	4	3	2
3033696	21	13	1	1	0	0	0	1	0	0	6	5	13	1	4	1987	2	2	4	0	6	1	2	1	2	32	320	3	1	1	0	0	3	0	0	4	4	2	4	4	1
5589219	45	21	2	1	1	0	0	0	0	0	1	5	14	2	1	0	2	2	4	0	1	1	1	1	52	42	42400	1	1	6	0	0	0	0	0	4	4	2	1	0	0
3016528	45	21	2	1	1	0	0	0	0	0	1	3	16	2	1	0	2	2	4	0	1	1	4	1	30	50	72550	1	1	6	0	0	0	0	0	4	4	2	1	0	0
9761353	45	25	1	1	0	1	0	0	0	0	2	1	12	2	1	0	2	1	2	2	6	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7622229	48	24	1	1	1	0	0	0	0	0	1	1	12	2	1	0	2	1	2	2	3	1	1	1	52	38	14000	5	1	1	0	3	5	3	3	2	2	2	1	3	1
565780	37	24	2	1	0	0	0	1	0	0	6	1	11	1	4	1983	2	2	4	0	1	1	3	1	28	40	12000	5	1	1	0	2	5	2	2	3	3	2	4	4	1
2186846	43	16	1	1	0	0	0	1	0	0	6	1	11	1	5	1985	2	2	4	0	6	1	6	1	40	7	29000	6	1	1	1	2	6	2	2	2	2	2	4	3	3
1037924	55	16	2	2	1	0	0	0	0	0	1	1	10	1	1	0	2	2	4	0	1	1	2	1	33	20	7100	4	1	1	1	0	4	0	0	4	4	2	2	3	1
9335937	54	19	2	1	1	0	0	0	0	0	1	1	9	2	4	1959	2	2	4	0	6	2	0	2	0	0	0	3	1	1	1	0	3	0	0	4	4	2	1	1	4
2224264	65	18	2	1	1	0	0	0	0	0	1	1	12	2	1	0	2	2	4	0	1	1	1	1	52	40	36950	2	1	1	1	0	2	0	0	4	4	2	1	3	1
6537924	37	23	1	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	4	0	1	1	6	1	50	40	105000	2	1	1	0	0	2	0	0	4	4	2	1	3	1
7907388	51	27	1	1	1	0	0	0	0	0	1	1	9	2	1	0	2	2	2	2	1	1	6	1	51	50	36200	2	1	1	0	0	2	0	0	4	4	2	1	2	2
5770942	35	29	1	1	1	0	0	0	0	0	1	5	9	2	1	0	2	2	2	2	1	1	1	1	18	40	25900	12	1	1	0	4	12	1	4	2	3	2	2	4	2
1594477	42	16	2	1	0	0	1	0	0	0	3	3	9	2	1	0	2	2	4	0	1	1	1	1	52	40	21000	7	3	3	0	3	6	0	3	4	3	2	1	2	7
1737756	37	10	2	1	1	0	0	0	0	0	1	3	14	2	1	0	1	1	4	0	2	1	1	1	10	30	9400	2	3	5	0	0	0	0	0	4	4	2	1	0	0
8774770	29	14	2	1	1	0	0	0	0	0	1	1	13	2	1	0	2	1	4	0	1	1	1	2	0	0	0	4	4	1	0	2	4	2	2	1	1	2	1	2	1
3955120	36	24	2	1	0	0	0	1	0	0	6	1	13	1	5	1995	2	2	4	0	1	1	1	1	24	50	17800	3	1	1	0	1	3	1	1	1	1	2	4	3	3
6114894	42	23	1	1	1	0	0	0	0	0	1	5	6	2	1	0	1	1	2	2	6	2	0	2	0	0	6000	1	3	4	0	0	0	0	0	4	4	2	1	0	0
4487732	27	11	2	1	1	0	0	0	0	0	1	5	11	2	1	0	2	2	4	0	6	1	3	1	48	42	14300	2	3	5	0	0	0	0	0	4	4	2	1	0	0
451800	50	10	1	1	0	0	0	1	0	0	6	1	11	1	4	1970	2	2	2	2	1	1	5	1	52	40	54050	2	1	1	0	0	2	0	0	4	4	2	4	3	1
8133989	52	22	2	13	0	0	0	0	0	1	8	1	3	1	5	1982	2	2	4	0	6	1	1	1	52	36	5500	4	3	1	0	0	4	0	0	4	4	2	2	4	2
9971613	50	21	1	1	1	0	0	0	0	0	1	1	8	2	1	0	2	2	4	0	1	1	3	1	52	56	56000	2	1	1	0	0	2	0	0	4	4	2	1	3	1
3551893	39	26	1	1	0	0	0	1	0	0	6	1	16	1	5	1985	2	2	4	0	1	1	2	1	52	40	44000	4	3	1	0	2	4	2	2	2	2	2	4	2	2
8721065	39	16	1	2	1	0	0	0	0	0	1	1	13	1	1	0	2	2	4	0	1	1	1	1	52	40	70000	4	1	1	0	2	4	2	2	3	3	2	2	3	1
8322274	30	19	1	1	0	1	0	0	0	0	2	1	10	2	1	0	2	2	4	0	6	1	1	1	52	40	35000	6	3	3	0	3	6	3	3	3	3	2	1	4	7
9298262	26	26	1	1	0	0	0	1	0	0	6	5	13	1	5	1995	2	2	4	0	1	1	1	1	52	40	90100	1	3	4	0	0	0	0	0	4	4	2	4	0	0
5664518	56	14	1	1	1	0	0	0	0	0	1	1	15	1	4	1963	2	2	4	0	1	1	2	1	52	50	345000	2	1	1	0	0	2	0	0	4	4	2	5	2	2
